iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
NCL,New Caledonia,2019,20.002,-4.058853373921867,53.60479464128327,0.5288207297726046,-0.0082471604078862,1
NCL,New Caledonia,2020,17.978,-9.941829719725014,53.12194167156,0.5480524564493976,-0.00525094794572778,1
NCL,New Caledonia,2023,17.483,-0.9382329945269774,51.61799526440412,0.5327545382793915,-0.03238803401989965,1
NCL,New Caledonia,2024,18.064,4.321231254932911,53.773406468696805,0.5106865897484454,-0.040006315771765055,1
NGA,Nigeria,1994,0.745,79.7561793982776,0.0821304131408661,57.86087605774017,-0.058568226696376735,1
NGA,Nigeria,2008,0.549,5.25617622003165,0.7411347107724681,36.64743493392224,-0.009750688763124127,1
NPL,Nepal,2016,0.361,46.097031136857325,25.93180015860429,22.12529738302933,-0.019744914262928348,1
NPL,Nepal,2019,0.449,-9.181565638578247,30.65882352941176,29.51372549019608,-0.003443038908608087,1
PRK,North Korea,1990,5.607,1.9077901430842648,91.04347752633404,2.110100267774925,-0.025169767823546074,1
PRK,North Korea,1991,5.265,-4.699999155284118,92.66967443427085,1.864047722458082,-0.041153176485715925,1
PRK,North Korea,1992,4.505,-13.148494491176132,92.9080981782926,1.9686686737766053,-0.055105088676625336,1
PRK,North Korea,1993,4.059,-8.572740725621275,93.1774292571301,1.8038734163085337,-0.05733642795170901,1
PRK,North Korea,1994,3.643,-8.931182675671145,94.12384781329672,2.1536085506962195,-0.05452456301519526,1
PRK,North Korea,1995,3.356,-6.740292214159648,92.44660576986266,2.246172044424,-0.07720856346451654,1
PRK,North Korea,1996,2.895,-12.871130971939271,91.11959210764496,2.314004706450248,-0.08033333798870634,1
PRK,North Korea,1997,2.755,-3.9416520847161074,93.1091882724289,2.1215785423766107,-0.07374453479780496,1
PRK,North Korea,1998,2.52,-7.741955746792506,91.04325180003065,2.165143236480631,-0.07133590883316088,1
PRK,North Korea,1999,2.73,9.181432875453188,93.35547136866064,2.577054394088208,-0.08454432239933296,1
PRK,North Korea,2000,2.923,7.82938122632244,92.78536832212824,2.6805465191932427,-0.07071890386088708,1
PRK,North Korea,2001,3.009,3.618882382708022,92.24479544566611,2.8883183568678,-0.05759106854785023,1
PRK,North Korea,2002,2.867,-4.22224702796229,91.8111360391597,3.097229101716138,-0.08657147070722127,1
PRK,North Korea,2003,2.912,2.1867078465079848,92.00347860798657,3.143578118985488,-0.054908362972416636,1
