iso_code,country,year,metric,value,z_score,mean,std
CUW,Curacao,2017,co2_per_capita,29.482,4.153917396566305,4.947436619718309,5.9063676616589325
KWT,Kuwait,2017,co2_per_capita,24.072,3.237956807942792,4.947436619718309,5.9063676616589325
QAT,Qatar,2017,co2_per_capita,39.035,5.771324328751226,4.947436619718309,5.9063676616589325
TTO,Trinidad and Tobago,2017,co2_per_capita,27.882,3.8830233222968746,4.947436619718309,5.9063676616589325
AGO,Angola,2017,renewables_share,34.49430108893691,3.5039351725390815,6.194620860569948,8.076542183244777
CMR,Cameroon,2017,renewables_share,30.8286370277604,3.050069647168444,6.194620860569948,8.076542183244777
COG,Congo,2017,renewables_share,45.018580782162445,4.807002680198328,6.194620860569948,8.076542183244777
GAB,Gabon,2017,renewables_share,53.97200508998364,5.915574158521756,6.194620860569948,8.076542183244777
TGO,Togo,2017,renewables_share,39.95815899581589,4.180444721169193,6.194620860569948,8.076542183244777
CUW,Curacao,2018,co2_per_capita,23.809,3.275212712061396,4.909352112676056,5.770510055033537
KWT,Kuwait,2018,co2_per_capita,23.697,3.25580368254202,4.909352112676056,5.770510055033537
QAT,Qatar,2018,co2_per_capita,37.166,5.5899127771533665,4.909352112676056,5.770510055033537
TTO,Trinidad and Tobago,2018,co2_per_capita,27.41,3.899247670090608,4.909352112676056,5.770510055033537
CMR,Cameroon,2018,renewables_share,31.55221454693213,3.2184226732228574,6.159124767806165,7.889917626542783
COG,Congo,2018,renewables_share,49.61038961038961,5.5071886551017135,6.159124767806165,7.889917626542783
